date,brand,search_interest,year,month,month_name,quarter,interest_level,dataset
2019-01-01,Gucci,66,2019,1,Jan,Q1,High,Google Trends
2019-02-01,Gucci,74,2019,2,Feb,Q1,High,Google Trends
2019-03-01,Gucci,65,2019,3,Mar,Q1,High,Google Trends
2019-04-01,Gucci,57,2019,4,Apr,Q2,High,Google Trends
2019-05-01,Gucci,60,2019,5,May,Q2,High,Google Trends
2019-06-01,Gucci,59,2019,6,Jun,Q2,High,Google Trends
2019-07-01,Gucci,57,2019,7,Jul,Q3,High,Google Trends
2019-08-01,Gucci,58,2019,8,Aug,Q3,High,Google Trends
2019-09-01,Gucci,56,2019,9,Sep,Q3,High,Google Trends
2019-10-01,Gucci,58,2019,10,Oct,Q4,High,Google Trends
2019-11-01,Gucci,61,2019,11,Nov,Q4,High,Google Trends
2019-12-01,Gucci,75,2019,12,Dec,Q4,Very High,Google Trends
2020-01-01,Gucci,59,2020,1,Jan,Q1,High,Google Trends
2020-02-01,Gucci,56,2020,2,Feb,Q1,High,Google Trends
2020-03-01,Gucci,44,2020,3,Mar,Q1,Moderate,Google Trends
2020-04-01,Gucci,44,2020,4,Apr,Q2,Moderate,Google Trends
2020-05-01,Gucci,50,2020,5,May,Q2,High,Google Trends
2020-06-01,Gucci,53,2020,6,Jun,Q2,High,Google Trends
2020-07-01,Gucci,55,2020,7,Jul,Q3,High,Google Trends
2020-08-01,Gucci,53,2020,8,Aug,Q3,High,Google Trends
2020-09-01,Gucci,54,2020,9,Sep,Q3,High,Google Trends
2020-10-01,Gucci,53,2020,10,Oct,Q4,High,Google Trends
2020-11-01,Gucci,64,2020,11,Nov,Q4,High,Google Trends
2020-12-01,Gucci,66,2020,12,Dec,Q4,High,Google Trends
2021-01-01,Gucci,55,2021,1,Jan,Q1,High,Google Trends
2021-02-01,Gucci,50,2021,2,Feb,Q1,High,Google Trends
2021-03-01,Gucci,53,2021,3,Mar,Q1,High,Google Trends
2021-04-01,Gucci,52,2021,4,Apr,Q2,High,Google Trends
2021-05-01,Gucci,47,2021,5,May,Q2,Moderate,Google Trends
2021-06-01,Gucci,49,2021,6,Jun,Q2,Moderate,Google Trends
2021-07-01,Gucci,49,2021,7,Jul,Q3,Moderate,Google Trends
2021-08-01,Gucci,50,2021,8,Aug,Q3,High,Google Trends
2021-09-01,Gucci,49,2021,9,Sep,Q3,Moderate,Google Trends
2021-10-01,Gucci,52,2021,10,Oct,Q4,High,Google Trends
2021-11-01,Gucci,93,2021,11,Nov,Q4,Very High,Google Trends
2021-12-01,Gucci,100,2021,12,Dec,Q4,Very High,Google Trends
2022-01-01,Gucci,69,2022,1,Jan,Q1,High,Google Trends
2022-02-01,Gucci,70,2022,2,Feb,Q1,High,Google Trends
2022-03-01,Gucci,58,2022,3,Mar,Q1,High,Google Trends
2022-04-01,Gucci,55,2022,4,Apr,Q2,High,Google Trends
2022-05-01,Gucci,54,2022,5,May,Q2,High,Google Trends
2022-06-01,Gucci,54,2022,6,Jun,Q2,High,Google Trends
2022-07-01,Gucci,59,2022,7,Jul,Q3,High,Google Trends
2022-08-01,Gucci,52,2022,8,Aug,Q3,High,Google Trends
2022-09-01,Gucci,46,2022,9,Sep,Q3,Moderate,Google Trends
2022-10-01,Gucci,49,2022,10,Oct,Q4,Moderate,Google Trends
2022-11-01,Gucci,46,2022,11,Nov,Q4,Moderate,Google Trends
2022-12-01,Gucci,57,2022,12,Dec,Q4,High,Google Trends
2023-01-01,Gucci,46,2023,1,Jan,Q1,Moderate,Google Trends
2023-02-01,Gucci,46,2023,2,Feb,Q1,Moderate,Google Trends
2023-03-01,Gucci,40,2023,3,Mar,Q1,Moderate,Google Trends
2023-04-01,Gucci,43,2023,4,Apr,Q2,Moderate,Google Trends
2023-05-01,Gucci,42,2023,5,May,Q2,Moderate,Google Trends
2023-06-01,Gucci,44,2023,6,Jun,Q2,Moderate,Google Trends
2023-07-01,Gucci,42,2023,7,Jul,Q3,Moderate,Google Trends
2023-08-01,Gucci,38,2023,8,Aug,Q3,Moderate,Google Trends
2023-09-01,Gucci,38,2023,9,Sep,Q3,Moderate,Google Trends
2023-10-01,Gucci,39,2023,10,Oct,Q4,Moderate,Google Trends
2023-11-01,Gucci,43,2023,11,Nov,Q4,Moderate,Google Trends
2023-12-01,Gucci,48,2023,12,Dec,Q4,Moderate,Google Trends
2024-01-01,Gucci,40,2024,1,Jan,Q1,Moderate,Google Trends
2024-02-01,Gucci,38,2024,2,Feb,Q1,Moderate,Google Trends
2024-03-01,Gucci,38,2024,3,Mar,Q1,Moderate,Google Trends
2024-04-01,Gucci,38,2024,4,Apr,Q2,Moderate,Google Trends
2024-05-01,Gucci,39,2024,5,May,Q2,Moderate,Google Trends
2024-06-01,Gucci,39,2024,6,Jun,Q2,Moderate,Google Trends
2024-07-01,Gucci,36,2024,7,Jul,Q3,Moderate,Google Trends
2024-08-01,Gucci,37,2024,8,Aug,Q3,Moderate,Google Trends
2024-09-01,Gucci,37,2024,9,Sep,Q3,Moderate,Google Trends
2024-10-01,Gucci,37,2024,10,Oct,Q4,Moderate,Google Trends
2024-11-01,Gucci,39,2024,11,Nov,Q4,Moderate,Google Trends
2024-12-01,Gucci,46,2024,12,Dec,Q4,Moderate,Google Trends
2019-01-01,Louis Vuitton,33,2019,1,Jan,Q1,Moderate,Google Trends
2019-02-01,Louis Vuitton,33,2019,2,Feb,Q1,Moderate,Google Trends
2019-03-01,Louis Vuitton,32,2019,3,Mar,Q1,Moderate,Google Trends
2019-04-01,Louis Vuitton,30,2019,4,Apr,Q2,Moderate,Google Trends
2019-05-01,Louis Vuitton,33,2019,5,May,Q2,Moderate,Google Trends
2019-06-01,Louis Vuitton,33,2019,6,Jun,Q2,Moderate,Google Trends
2019-07-01,Louis Vuitton,34,2019,7,Jul,Q3,Moderate,Google Trends
2019-08-01,Louis Vuitton,34,2019,8,Aug,Q3,Moderate,Google Trends
2019-09-01,Louis Vuitton,34,2019,9,Sep,Q3,Moderate,Google Trends
