year,brand,avg_interest,peak_interest
2019,Chanel,41.8,55
2019,Gucci,62.2,75
2019,Louis Vuitton,34.9,49
2019,Prada,14.9,18
2020,Chanel,41.0,53
2020,Gucci,54.2,66
2020,Louis Vuitton,34.7,42
2020,Prada,15.7,19
2021,Chanel,41.4,56
2021,Gucci,58.2,100
2021,Louis Vuitton,35.7,48
2021,Prada,19.8,24
2022,Chanel,42.9,52
2022,Gucci,55.8,70
2022,Louis Vuitton,33.8,40
2022,Prada,23.4,27
2023,Chanel,40.8,50
2023,Gucci,42.4,48
2023,Louis Vuitton,30.7,36
2023,Prada,24.1,29
2024,Chanel,40.9,54
2024,Gucci,38.7,46
2024,Louis Vuitton,31.7,43
2024,Prada,26.3,32
