brand,description,price_usd,type
MONCLER,Vistule quilted shell down jacket,1750,clothing
GUEST IN RESIDENCE,Grizzly cashmere sweater,545,clothing
CHLOÉ,+ NET SUSTAIN high-rise boyfriend recycled jeans,1290,clothing
OSCAR DE LA RENTA,Embellished wool-blend mini dress,2590,clothing
ZIMMERMANN,+ NET SUSTAIN crochet-trimmed floral-print linen mini dress,850,clothing
BOTTEGA VENETA,Gathered stretch-jersey halterneck dress,2400,clothing
LIBEROWE,+ NET SUSTAIN off-the-shoulder duchesse cotton-blend satin peplum top,800,clothing
THE ROW,Elu oversized alpaca and silk-blend turtleneck sweater,2250,clothing
BRUNELLO CUCINELLI,Cotton-blend corduroy wide-leg pants,1995,clothing
CHRISTOPHER ESBER,Triquetra cutout silk-satin maxi dress,970,clothing
CHLOÉ,Open-back embellished wool-crepe midi dress,7350,clothing
SELF-PORTRAIT,Sequined tulle midi dress,670,clothing
LOEWE,Cropped embroidered ribbed stretch-cotton jersey tank,400,clothing
KHAITE,Isla paneled high-rise wide-leg jeans,640,clothing
ADIDAS ORIGINALS,+ Y-3 oversized padded cotton-blend twill bomber jacket,700,clothing
CLIO PEPPIATT,Galaxy embellished stretch-mesh mini dress,1705,clothing
SALONI,Winona hammered silk-satin gown,950,clothing
OSCAR DE LA RENTA,Cold-shoulder ruffled guipure lace mini dress,3490,clothing
MAX MARA,Manuela Icon belted camel hair coat,3450,clothing
TOTEME,Striped wool-blend turtleneck sweater,570,clothing
THE ROW,Roan pleated wool wide-leg pants,1590,clothing
THE ROW,Moon oversized cotton-poplin shirt,1290,clothing
AGOLDE,Hilla frayed organic denim maxi skirt,240,clothing
CANADA GOOSE,Garnet quilted cotton-shell cropped down jacket,1750,clothing
ERDEM,Tiered floral-print cotton-voile mini shirt dress,1145,clothing
A.L.C.,Elsie strapless crystal-embellished crepe mini dress,695,clothing
ZIMMERMANN,+ NET SUSTAIN August ruffled tiered gathered floral-print crepon mini dress,1100,clothing
BLAZÉ MILANO,Everyday double-breasted wool blazer,1735,clothing
ULLA JOHNSON,Emilia tulle-trimmed ribbed-knit midi skirt,490,clothing
CHLOÉ,Guipure lace-trimmed ribbed wool-blend top,1190,clothing
KHAITE,Alta ribbed-knit maxi dress,2900,clothing
DÔEN,+ NET SUSTAIN Bellamy shirred printed organic cotton-poplin maxi dress,300,clothing
THE ROW,Ophelia oversized wool and cashmere sweater,1550,clothing
ISABEL MARANT,Staya straight-leg wool-twill pants,890,clothing
BRUNELLO CUCINELLI,Bead-embellished shell-trimmed cashmere-blend bouclé jacket,6995,clothing
BRUNELLO CUCINELLI,Double-breasted herringbone wool and alpaca-blend blazer,5495,clothing
VICTORIA BECKHAM,Asymmetric appliquéd metallic chiffon halterneck top,890,clothing
BOTTEGA VENETA,High-rise straight-leg jeans,1300,clothing
OSCAR DE LA RENTA,Off-the-shoulder pleated floral-print cotton-blend poplin dress,2690,clothing
GALVAN,Pandora satin halterneck gown,1695,clothing
CHLOÉ,Bow-embellished velvet-trimmed wool and silk-blend satin midi dress,2950,clothing
A.L.C.,Monica crystal-embellished cotton-twill shirt,495,clothing
KHAITE,Albi high-rise straight-leg jeans,480,clothing
MONCLER,Cochevis quilted shell down jacket,1385,clothing
YVONNE S,+ NET SUSTAIN Bow printed linen-gauze maxi dress,670,clothing
ZIMMERMANN,Tiered plissé-taffeta midi dress,725,clothing
LA LIGNE,Aleksandra floral-print silk-chiffon midi dress,450,clothing
THE ROW,Ezio wool and cashmere-blend turtleneck sweater,1590,clothing
TOTEME,Embroidered silk-twill wide-leg pants,700,clothing
VICTORIA BECKHAM,Wrap-effect metallic chiffon shirt,890,clothing
LOEWE,Leather-trimmed denim jacket,1550,clothing
BALENCIAGA,Printed cotton-jersey T-shirt,895,clothing
OUR LEGACY,Peak cotton-canvas straight-leg cargo pants,367,clothing
ISABEL MARANT,Albini printed silk-crepe midi dress,1390,clothing
MAX MARA,"Nuevo Teddy oversized  double-breasted alpaca, cashmere and silk-blend coat",4690,clothing
MAX MARA,Corone belted printed silk-twill midi wrap dress,1990,clothing
GABRIELA HEARST,+ NET SUSTAIN Leary organic silk-velvet blazer,2450,clothing
RALPH LAUREN COLLECTION,Sorrento embellished bow-detailed pleated cotton-poplin halterneck top,990,clothing
GABRIELA HEARST,+ NET SUSTAIN Boyne organic silk-velvet wide-leg pants,1650,clothing
